0.0,0.78,1.56,2.34,3.13,3.91,4.69,5.47,6.25,7.03,7.81,8.59,9.38,10.16,10.94,11.72,12.5,13.28,14.06,14.84,15.63,16.41,17.19,17.97,18.75,19.53,20.31,21.09,21.87,22.66,23.44,24.22,25.0,25.78,26.56,27.34,28.12,28.91,29.69,30.47,31.25,32.03,32.81,33.59,34.38,35.16,35.94,36.72,37.5,38.28,39.06,39.84,40.63,41.41,42.19,42.97,43.75,44.53,45.31,46.09,46.88,47.66,48.44,49.22
8.1667,7.427,6.3522,6.1081,4.0443,3.2372,4.439,3.4119,4.32,2.5206,3.8341,3.4871,3.3751,3.5885,2.722,4.0843,4.5586,4.8174,5.9955,6.8063,6.6415,5.8815,5.0045,4.7074,4.396,5.6501,5.4007,4.3996,4.2489,4.6921,3.9571,3.9877,3.6296,4.1682,4.5236,2.3516,4.0486,3.6424,5.4503,5.2189,5.6739,7.8328,8.3278,7.3506,4.0466,5.385,5.6425,5.5772,5.2303,4.3645,3.5238,4.1658,3.831,3.5138,3.4028,4.1527,3.4438,4.3143,3.4449,3.9712,4.4884,4.6528,5.398,6.9316
7.8694,7.1135,6.4157,6.2655,5.231,4.1624,4.8872,4.5965,2.8309,3.2692,3.5536,3.4859,4.2697,3.9691,2.2824,4.8935,5.1473,4.6157,6.0529,6.8836,6.6608,5.8102,4.922,5.2889,4.9961,5.4445,5.1448,4.2179,3.829,4.1844,4.1392,4.0186,3.7601,3.6484,4.2127,3.822,4.0963,4.9143,5.8102,5.4684,5.0161,7.891,8.43,7.4306,4.7131,5.694,5.409,5.1759,4.9321,4.7355,4.056,4.6333,4.2246,4.1074,3.5411,3.6412,4.3066,4.6916,3.7207,3.2094,4.6856,4.7759,5.5585,7.0718
7.8158,7.1495,6.51,6.2631,4.4671,3.5435,4.5804,3.163,4.1899,3.9162,4.0336,3.2085,4.2625,3.9191,3.2616,4.7514,4.793,5.0362,6.013,6.9002,6.7369,6.0364,5.2766,4.7856,3.6858,5.7243,5.3725,4.3655,4.0159,4.7833,3.801,3.9,4.0909,4.3376,4.5787,4.1904,3.8122,4.1462,5.671,5.442,5.5882,7.9186,8.4456,7.4539,2.331,5.4509,5.8447,5.6924,5.2939,4.5369,3.1536,3.6176,4.5268,3.5907,3.5307,4.6423,3.0417,4.393,3.9404,0.5335,4.7327,4.6514,5.7662,7.0717
7.6904,7.0335,6.5735,6.2462,5.0593,2.9406,4.8657,3.2538,4.0653,3.8317,3.62,3.1157,3.8283,4.0468,3.992,4.6514,5.047,4.9745,5.8687,6.8864,6.7091,6.0335,4.9442,5.0135,4.5274,5.6366,4.9992,4.0173,3.6396,4.2986,4.4327,3.5947,3.6116,3.0673,3.6811,3.7244,3.0328,4.0534,5.6524,5.5275,5.5513,7.8626,8.4763,7.5626,4.3924,5.6158,5.7756,5.3247,5.1087,4.2734,3.6541,3.7763,3.746,4.2203,4.2619,4.1794,3.3753,4.7471,4.4187,3.7298,4.0165,4.5663,5.6923,7.1184
7.7807,7.1502,6.4768,6.2328,4.6317,4.3029,4.9372,4.4703,4.035,3.464,0.7833,4.3453,3.4892,3.5991,3.3762,4.4718,4.5588,5.0164,5.8062,6.8795,6.72,6.2051,5.6812,5.172,4.5486,5.7317,5.1384,4.7052,4.37,4.8175,3.5442,3.802,3.7458,4.2533,4.1122,3.5731,3.4724,5.1047,5.9581,5.4925,5.5484,7.8815,8.4585,7.5027,3.797,5.6702,6.1091,5.4935,5.2684,4.3949,4.6969,4.1603,4.2174,4.3597,3.5404,3.5138,3.5728,4.1051,4.1932,4.1753,4.4364,4.1277,5.8981,7.0866
7.799,7.0554,6.5111,6.2668,4.8385,4.4096,4.7806,3.4065,4.1599,4.09,3.2628,3.9101,2.9125,4.3821,4.1987,5.0829,4.6237,4.5459,6.0454,6.8684,6.5508,6.2021,5.2574,4.935,5.6363,6.0148,5.6079,4.8288,4.414,4.7772,4.2447,4.3258,3.7049,3.2991,3.4192,4.5287,4.3965,5.2954,5.8883,5.4739,5.8587,7.9775,8.4676,7.5492,4.7466,5.7934,6.1543,5.7935,5.3111,4.2058,4.0401,4.1812,4.2658,3.5623,4.299,3.1181,3.3527,3.9848,4.4569,4.3709,3.9168,4.429,5.4328,6.991
7.7555,7.0055,6.4338,6.4144,5.2664,3.1611,4.8051,4.557,3.6692,3.7087,3.2085,2.3716,2.7767,3.9759,4.1006,4.9415,4.413,4.6221,5.9521,6.775,5.5326,6.1395,4.8084,4.7161,5.2775,5.855,5.3439,4.5521,3.7937,4.7754,4.5119,4.0252,3.8529,3.5263,3.7426,4.0048,4.6313,5.3723,5.9388,5.2384,5.4736,7.9083,8.4684,7.5355,4.6104,5.807,6.0885,5.2393,5.1334,4.6574,3.8413,3.7236,4.2677,4.3348,4.4205,3.549,4.1527,4.4709,4.82,4.3197,4.289,4.6308,5.9557,7.0542
7.658,6.8897,6.5022,6.3189,4.771,5.0281,5.1343,4.8304,4.557,2.1433,4.0812,4.4312,4.1178,4.0016,3.7528,4.4202,4.6902,4.5103,6.1622,6.9077,6.4477,5.8063,4.0765,5.3231,5.2374,5.8498,5.6726,4.8869,4.8261,4.9341,4.6485,3.0126,4.1715,4.9494,4.709,4.5237,4.6257,5.0106,5.899,5.3162,6.0194,8.0153,8.4865,7.531,4.7493,5.4877,5.2712,5.2056,5.4605,4.3264,4.3168,4.5595,3.6874,3.5297,4.2071,4.3972,4.6706,4.7193,4.38,4.7537,5.0355,4.613,5.6604,7.0342
7.6926,6.9571,6.4284,6.0319,5.0376,4.9332,5.1895,4.5064,3.8149,3.928,3.6622,4.0366,4.1073,4.0594,3.6142,4.6515,4.8422,4.2497,6.0509,6.9118,6.7513,6.0797,5.3534,5.5648,5.3967,5.6733,5.3691,4.9686,4.612,4.7011,3.8116,3.0918,4.0765,3.6948,3.0897,4.2938,4.016,5.0524,5.9518,5.3781,5.6801,7.9364,8.4824,7.5801,4.4465,5.4558,5.5363,5.2378,5.1686,4.3042,4.566,4.3269,3.8199,3.6842,4.2096,3.7207,4.0394,4.5826,4.0165,3.8239,4.5828,4.6273,5.8822,7.1018
